order_id,region,category,order_date,sales_amount,cost_amount
1001,North,Electronics,2025-01-03,1200,800
1002,North,Electronics,2024-01-05,900,700
1003,North,Furniture,2024-02-10,1500,1000
1004,South,Electronics,2024-02-14,500,600
1005,South,Clothing,2024-03-01,700,400
1006,East,Electronics,2024-03-08,1100,900
1007,East,Clothing,2024-03-10,850,500
1008,West,Furniture,2024-03-15,2000,1200
1009,West,Furniture,2024-03-20,1800,1000
1010,West,Clothing,2024-03-25,600,450
1011,South,Furniture,2024-04-01,1300,800
1012,North,Electronics,2024-04-05,2200,1500
1013,East,Furniture,2024-04-07,1600,1300
1014,East,Clothing,2024-04-10,950,600
1015,South,Clothing,2024-04-11,400,250
1016,West,Electronics,2024-04-12,1700,900
1017,North,Furniture,2024-04-13,1400,1000
1018,East,Electronics,2024-04-15,2100,1400
1019,South,Clothing,2024-04-18,1000,600
1020,West,Furniture,2024-04-20,2300,1600
